Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - BAAHSZ010000001.1	Upstream	89	92144	92395	-1	WP_000466739.1	100	98.8	3.61e-38	MULTISPECIES: GlsB/YeaQ/YmgE family stress response membrane protein [Staphylococcus]
PICI REGION 1 - BAAHSZ010000001.1	Upstream	90	92689	92952	1	WP_001055897.1	100	98.9	1.21e-58	MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHSZ010000001.1	Upstream	91	93090	93695	-1	WP_000769722.1	100	94.1	9.10e-122	MULTISPECIES: PepSY domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHSZ010000001.1	Upstream	92	93810	94211	-1	WP_000849170.1	100	99.3	1.82e-86	MULTISPECIES: YxeA family protein [unclassified Staphylococcus]
PICI REGION 1 - BAAHSZ010000001.1	Upstream	94	94580	95191	-1	WP_000473941.1	100	99.5	1.13e-139	exotoxin beta-grasp domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSZ010000001.1	Core	95	95551	95691	1	CORE	100	97.9	1.48e-24	PROTEIN: WP_000237577.1 integrase [Staphylococcus aureus]
PICI REGION 1 - BAAHSZ010000001.1	Core	96	95688	95816	1	CORE	79.4	79.1	5.24e-06	PROTEIN: WP_326024596.1 tyrosine-type recombinase/integrase [Staphylococcus saprophyticus]
PICI REGION 1 - BAAHSZ010000001.1	Core	97	96096	97088	1	CORE	100	94.3	9.74e-225	PROTEIN: WP_072419886.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - BAAHSZ010000001.1	Core	98	97354	97596	-1	WP_000897044.1	100	98.8	3.02e-49	MULTISPECIES: 30S ribosomal protein S18 [Bacteria]
PICI REGION 1 - BAAHSZ010000001.1	Core	99	97648	98151	-1	WP_061839556.1	91.6	99.4	1.08e-99	single-stranded DNA-binding protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSZ010000001.1	Core	100	98172	98468	-1	WP_001261460.1	100	99.0	3.52e-63	MULTISPECIES: 30S ribosomal protein S6 [Bacteria]
PICI REGION 1 - BAAHSZ010000001.1	Core	101	98712	98903	1	WP_001052483.1	100	98.4	9.23e-41	MULTISPECIES: hypothetical protein [Staphylococcus]
PICI REGION 1 - BAAHSZ010000001.1	Core	102	98989	100086	-1	WP_001218732.1	100	99.7	2.44e-256	MULTISPECIES: redox-regulated ATPase YchF [Staphylococcus]
PICI REGION 1 - BAAHSZ010000001.1	Core	103	100098	100301	-1	WP_000157345.1	100	98.5	1.48e-41	MULTISPECIES: DUF951 domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHSZ010000001.1	Core	104	100331	101212	-1	WP_001077602.1	100	99.7	4.03e-150	MULTISPECIES: mechanosensitive ion channel family protein [Staphylococcus]
PICI REGION 1 - BAAHSZ010000001.1	Core	105	101369	102214	-1	WP_001566903.1	100	99.6	1.57e-187	MULTISPECIES: ParB/RepB/Spo0J family partition protein [Staphylococcus]
PICI REGION 1 - BAAHSZ010000001.1	Core	107	102878	103981	1	CORE	100	99.7	2.66e-261	PROTEIN: WP_000655703.1 MULTISPECIES: aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme [Staphylococcus]
PICI REGION 1 - BAAHSZ010000001.1	Downstream	108	103978	105138	1	WP_000175854.1	100	99.7	1.35e-275	MULTISPECIES: cystathionine beta-lyase MetC [Staphylococcus]
PICI REGION 1 - BAAHSZ010000001.1	Downstream	109	105107	106948	1	WP_000077320.1	100	99.8	0.0	MULTISPECIES: bifunctional homocysteine S-methyltransferase/methylenetetrahydrofolate reductase [Staphylococcus]
PICI REGION 1 - BAAHSZ010000001.1	Downstream	110	106945	109173	1	WP_000207619.1	100	99.9	0.0	MULTISPECIES: 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase [Staphylococcus]
PICI REGION 1 - BAAHSZ010000001.1	Downstream	111	109216	109968	1	WP_261921499.1	100	99.6	2.36e-187	cyclase family protein [Staphylococcus aureus]
PICI REGION 1 - BAAHSZ010000001.1	Downstream	112	110051	111232	-1	WP_000199069.1	100	99.7	2.00e-276	MULTISPECIES: acetyl-CoA C-acetyltransferase [Staphylococcus]
