Region	Section	ORF No.	Start	Stop	Strand	Protein ID	%ID	%Cov	Blast e-value	Protein Name
PICI REGION 1 - BAAHTM010000001.1	Upstream	93	88497	88748	-1	WP_000466739.1	100	98.8	3.61e-38	MULTISPECIES: GlsB/YeaQ/YmgE family stress response membrane protein [Staphylococcus]
PICI REGION 1 - BAAHTM010000001.1	Upstream	94	89042	89305	1	WP_001055897.1	100	98.9	1.21e-58	MULTISPECIES: helix-turn-helix domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHTM010000001.1	Upstream	95	89443	90048	-1	WP_000769722.1	100	94.1	9.10e-122	MULTISPECIES: PepSY domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHTM010000001.1	Upstream	96	90163	90564	-1	WP_000849170.1	100	99.3	1.82e-86	MULTISPECIES: YxeA family protein [unclassified Staphylococcus]
PICI REGION 1 - BAAHTM010000001.1	Upstream	98	90933	91544	-1	WP_000473941.1	100	99.5	1.13e-139	exotoxin beta-grasp domain-containing protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTM010000001.1	Core	99	91904	92044	1	CORE	100	97.9	1.48e-24	PROTEIN: WP_000237577.1 integrase [Staphylococcus aureus]
PICI REGION 1 - BAAHTM010000001.1	Core	100	92041	92169	1	CORE	79.4	79.1	5.24e-06	PROTEIN: WP_326024596.1 tyrosine-type recombinase/integrase [Staphylococcus saprophyticus]
PICI REGION 1 - BAAHTM010000001.1	Core	101	92449	93441	1	CORE	100	94.3	9.74e-225	PROTEIN: WP_072419886.1 MULTISPECIES: Abi family protein [Staphylococcus]
PICI REGION 1 - BAAHTM010000001.1	Core	102	93707	93949	-1	WP_000897044.1	100	98.8	3.02e-49	MULTISPECIES: 30S ribosomal protein S18 [Bacteria]
PICI REGION 1 - BAAHTM010000001.1	Core	103	94001	94504	-1	WP_061839556.1	91.6	99.4	1.08e-99	single-stranded DNA-binding protein [Staphylococcus aureus]
PICI REGION 1 - BAAHTM010000001.1	Core	104	94525	94821	-1	WP_001261460.1	100	99.0	3.52e-63	MULTISPECIES: 30S ribosomal protein S6 [Bacteria]
PICI REGION 1 - BAAHTM010000001.1	Core	105	95065	95256	1	WP_001052483.1	100	98.4	9.23e-41	MULTISPECIES: hypothetical protein [Staphylococcus]
PICI REGION 1 - BAAHTM010000001.1	Core	106	95342	96439	-1	WP_374738957.1	99.7	99.7	5.74e-255	redox-regulated ATPase YchF [Staphylococcus aureus]
PICI REGION 1 - BAAHTM010000001.1	Core	107	96451	96654	-1	WP_000157345.1	100	98.5	1.48e-41	MULTISPECIES: DUF951 domain-containing protein [Staphylococcus]
PICI REGION 1 - BAAHTM010000001.1	Core	108	96684	97565	-1	WP_001077602.1	100	99.7	4.03e-150	MULTISPECIES: mechanosensitive ion channel family protein [Staphylococcus]
PICI REGION 1 - BAAHTM010000001.1	Core	109	97722	98567	-1	WP_001566903.1	100	99.6	1.57e-187	MULTISPECIES: ParB/RepB/Spo0J family partition protein [Staphylococcus]
PICI REGION 1 - BAAHTM010000001.1	Core	111	99231	100334	1	CORE	100	99.7	2.66e-261	PROTEIN: WP_000655703.1 MULTISPECIES: aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme [Staphylococcus]
PICI REGION 1 - BAAHTM010000001.1	Downstream	112	100331	101491	1	WP_000175854.1	100	99.7	1.35e-275	MULTISPECIES: cystathionine beta-lyase MetC [Staphylococcus]
PICI REGION 1 - BAAHTM010000001.1	Downstream	113	101460	103301	1	WP_432480079.1	100	99.8	0.0	bifunctional homocysteine S-methyltransferase/methylenetetrahydrofolate reductase [Staphylococcus aureus]
PICI REGION 1 - BAAHTM010000001.1	Downstream	114	103298	105526	1	WP_000207619.1	99.9	99.9	0.0	MULTISPECIES: 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase [Staphylococcus]
PICI REGION 1 - BAAHTM010000001.1	Downstream	115	105569	106321	1	WP_000195907.1	100	99.6	3.36e-187	MULTISPECIES: cyclase family protein [Staphylococcus]
PICI REGION 1 - BAAHTM010000001.1	Downstream	116	106404	107585	-1	WP_000199069.1	100	99.7	2.00e-276	MULTISPECIES: acetyl-CoA C-acetyltransferase [Staphylococcus]
