NZ_JAMQFR010000006.1_1|2|628|-1|ID=1_1;partial=10;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.753	WP_310910154.1 PE family protein, partial [Mycobacterium tuberculosis]	100	100	4.52e-60
NZ_JAMQFR010000006.1_2|1124|1270|1|ID=1_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.687	WP_234712619.1 3-hydroxyisobutyryl-CoA hydrolase, partial [Mycobacterium tuberculosis]	100	89.8	1.48e-19
NZ_JAMQFR010000006.1_3|1383|1889|1|ID=1_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.649	WP_003403827.1 MULTISPECIES: helix-turn-helix domain-containing protein [Mycobacterium]	100	99.4	2.04e-118
NZ_JAMQFR010000006.1_4|1886|2443|1|ID=1_4;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.627	WP_003403820.1 MULTISPECIES: DUF6036 family nucleotidyltransferase [Mycobacterium]	100	99.5	2.24e-128
NZ_JAMQFR010000006.1_5|2821|3339|-1|ID=1_5;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.759	WP_079014056.1 PE family protein, partial [Mycobacterium tuberculosis]	95.0	80.9	8.83e-69
NZ_JAMQFR010000006.1_6|3481|3795|-1|ID=1_6;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.651	WP_151220834.1 transposase, partial [Mycobacterium tuberculosis]	99.0	98.1	1.40e-67
NZ_JAMQFR010000006.1_7|4026|4634|-1|ID=1_7;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.635	WP_003901008.1 MULTISPECIES: hypothetical protein [Mycobacterium]	100	86.2	5.63e-131
NZ_JAMQFR010000006.1_8|4668|5516|-1|ID=1_8;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.640	WP_003901007.1 MULTISPECIES: DUF4226 domain-containing protein [unclassified Mycobacterium tuberculosis complex]	100	99.6	2.03e-204
NZ_JAMQFR010000006.1_9|5721|6257|-1|ID=1_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.713	WP_031729483.1 TIGR03086 family metal-binding protein [Mycobacterium tuberculosis]	100	99.4	8.06e-124
NZ_JAMQFR010000006.1_10|6627|7196|-1|ID=1_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.658	WP_003403738.1 MULTISPECIES: MarR family transcriptional regulator [Mycobacterium]	99.4	86.8	5.82e-107
NZ_JAMQFR010000006.1_11|7439|8191|-1|ID=1_11;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.683	WP_057349970.1 anti-sigma-L factor RslA [Mycobacterium tuberculosis]	98.4	99.6	3.16e-167
NZ_JAMQFR010000006.1_12|8255|8788|-1|ID=1_12;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.667	WP_003403731.1 MULTISPECIES: sigma-70 family RNA polymerase sigma factor SigL [Mycobacterium]	100	99.4	2.34e-117
NZ_JAMQFR010000006.1_13|8861|9661|-1|ID=1_13;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.684	WP_003403728.1 MULTISPECIES: type I methionyl aminopeptidase [Mycobacterium]	100	99.6	3.42e-179
NZ_JAMQFR010000006.1_14|9664|10209|-1|ID=1_14;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.636	WP_003403726.1 MULTISPECIES: adenylate kinase [Mycobacterium]	100	99.5	1.46e-122
NZ_JAMQFR010000006.1_15|10206|11531|-1|ID=1_15;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.597	WP_003403723.1 MULTISPECIES: preprotein translocase subunit SecY [Mycobacterium]	100	99.8	4.65e-304
NZ_JAMQFR010000006.1_16|11692|12648|1|ID=1_16;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.671	WP_003403717.1 MULTISPECIES: class I SAM-dependent methyltransferase [Mycobacterium]	100	99.7	1.51e-224
NZ_JAMQFR010000006.1_17|12737|13465|-1|ID=1_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.653	WP_003403710.1 GNAT family N-acetyltransferase [Mycobacterium tuberculosis]	100	99.6	6.56e-156
NZ_JAMQFR010000006.1_18|13478|14824|-1|ID=1_18;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.703	WP_003900204.1 MULTISPECIES: D-xylulose kinase [Mycobacterium]	100	99.8	0.0
NZ_JAMQFR010000006.1_19|14933|15835|1|ID=1_19;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.693	WP_003403698.1 MULTISPECIES: D-3-phosphoglycerate dehydrogenase SerA [Mycobacterium]	99.7	99.7	4.22e-210
NZ_JAMQFR010000006.1_20|15832|16488|1|ID=1_20;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.676	WP_003403695.1 MULTISPECIES: L-fuculose-phosphate aldolase [Mycobacterium]	100	99.5	1.04e-156
NZ_JAMQFR010000006.1_21|16691|17794|1|ID=1_21;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.627	WP_003403691.1 MULTISPECIES: class I SAM-dependent methyltransferase [Mycobacterium]	100	99.7	5.84e-265
NZ_JAMQFR010000006.1_22|17887|18792|1|ID=1_22;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.640	WP_003403687.1 class I SAM-dependent methyltransferase [Mycobacterium tuberculosis]	100	99.7	1.14e-215
NZ_JAMQFR010000006.1_23|18797|20668|-1|ID=1_23;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.669	WP_003898564.1 signal peptide peptidase SppA [Mycobacterium tuberculosis]	100	99.8	0.0
NZ_JAMQFR010000006.1_24|20701|21141|-1|ID=1_24;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.669	WP_003898563.1 MULTISPECIES: 50S ribosomal protein L15 [Mycobacterium]	100	99.3	1.39e-94
NZ_JAMQFR010000006.1_25|21141|21338|-1|ID=1_25;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.626	WP_003403683.1 MULTISPECIES: 50S ribosomal protein L30 [Mycobacterium]	100	98.5	3.32e-35
NZ_JAMQFR010000006.1_26|21341|22003|-1|ID=1_26;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.677	WP_003403680.1 MULTISPECIES: 30S ribosomal protein S5 [Mycobacterium]	100	99.5	1.83e-142
NZ_JAMQFR010000006.1_27|22023|22391|-1|ID=1_27;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.686	WP_003403677.1 MULTISPECIES: 50S ribosomal protein L18 [Bacteria]	100	99.2	4.47e-75
NZ_JAMQFR010000006.1_28|22394|22933|-1|ID=1_28;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619	WP_003403673.1 MULTISPECIES: 50S ribosomal protein L6 [Mycobacterium]	100	99.4	2.08e-121
NZ_JAMQFR010000006.1_29|22957|23355|-1|ID=1_29;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.632	WP_003403669.1 MULTISPECIES: 30S ribosomal protein S8 [Mycobacterium]	100	99.2	2.41e-86
NZ_JAMQFR010000006.1_30|23519|23704|-1|ID=1_30;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.645	WP_003403667.1 MULTISPECIES: type Z 30S ribosomal protein S14 [Mycobacterium]	100	98.4	1.07e-36
NZ_JAMQFR010000006.1_31|23709|24272|-1|ID=1_31;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.631	WP_003403660.1 MULTISPECIES: 50S ribosomal protein L5 [Mycobacterium]	100	99.5	4.32e-127
NZ_JAMQFR010000006.1_32|24272|24589|-1|ID=1_32;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.607	WP_003403654.1 MULTISPECIES: 50S ribosomal protein L24 [Mycobacterium]	100	99.1	5.42e-68
NZ_JAMQFR010000006.1_33|24590|24958|-1|ID=1_33;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.631	WP_003403649.1 MULTISPECIES: 50S ribosomal protein L14 [Mycobacteriaceae]	100	99.2	2.05e-80
NZ_JAMQFR010000006.1_34|25444|26304|-1|ID=1_34;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.613	WP_003901006.1 DUF4436 domain-containing protein [Mycobacterium tuberculosis]	100	99.7	6.46e-205
NZ_JAMQFR010000006.1_35|26687|27544|-1|ID=1_35;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.670	WP_070891752.1 formylglycine-generating enzyme family protein [Mycobacterium tuberculosis]	100	99.7	3.23e-224
NZ_JAMQFR010000006.1_36|27634|29997|-1|ID=1_36;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.630	WP_003898561.1 MULTISPECIES: arylsulfatase AtsA [Mycobacterium]	100	99.9	0.0
NZ_JAMQFR010000006.1_37|30166|30573|-1|ID=1_37;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.630	WP_003898560.1 30S ribosomal protein S17 [Mycobacterium tuberculosis]	100	99.3	2.78e-82
